194.84,10.36,194.84,16.89,131.07,16.89,131.07,10.36,###
302.2,59.95,302.2,95.92,22.62,95.92,22.62,59.95,Devoted
125.62,40.88,138.16,52.87,47.69,131.89,32.97,115.54,QQ：81627711
280.4,39.79,292.94,53.41,204.1,131.34,189.39,116.09,QQ：81627711
259.15,129.71,259.15,139.52,177.4,139.52,177.4,129.71,TheStoryof
272.77,151.51,272.77,159.69,174.13,159.69,174.13,151.51,aFather'sLove
250.97,173.31,250.97,180.94,174.67,180.94,174.67,173.31,forHisSon
300.02,208.74,300.02,235.44,150.69,235.44,150.69,208.74,Kindle&PDF
135.98,204.92,135.98,238.17,25.89,238.17,25.89,204.92,高清原版
298.93,253.43,298.93,273.05,158.32,273.05,158.32,253.43,微信：ebooks365
149.6,255.06,149.6,271.41,26.98,271.41,26.98,255.06,QQ：81627711
291.85,376.05,205.19,456.71,191.02,443.63,282.04,367.33,QQ：81627711
124.53,368.42,137.61,380.96,48.23,455.62,34.06,441.45,QQ：81627711
285.31,464.34,285.31,475.24,197.02,475.24,197.02,464.34,DonYaeger
163.77,466.52,163.77,474.15,188.3,474.15,188.3,466.52,with
157.23,462.16,157.23,473.61,42.78,473.61,42.78,462.16,DickHoyt
197.56,484.51,197.56,489.96,132.16,489.96,132.16,484.51,###
72.76,351.53,62.4,342.81,95.65,323.73,97.28,336.81,Life！
131.62,337.36,126.71,346.08,110.36,338.99,115.27,327.55,It's
144.15,344.99,138.16,359.16,129.44,347.71,138.7,346.08,A
138.7,361.34,141.97,382.05,152.87,383.68,155.6,359.7,Go
149.6,384.23,144.7,402.76,137.07,399.49,141.43,384.23,od
134.34,403.85,145.79,414.75,111.45,435.46,109.27,422.38,Life！
94.01,416.93,89.11,433.28,84.75,431.1,89.65,418.02,###
68.4,395.67,59.68,409.84,62.95,410.39,75.48,407.12,A
52.05,371.69,52.05,395.13,65.67,395.13,65.67,371.69,Go
69.49,357.52,63.49,372.24,55.86,370.6,63.49,353.16,od
