42,201,170,254
0,726,789,791
405,205,533,240
746,286,789,330
746,628,789,671
384,467,512,486
597,463,768,486
384,498,512,514
384,511,512,536
576,196,725,242
384,426,512,451
21,37,213,82
405,295,746,359
597,494,789,518
384,599,448,615
384,358,789,412
746,554,789,619
405,235,533,266
384,454,512,472
21,74,213,114
384,671,533,698
746,226,789,271
384,614,448,628
384,581,448,601
384,409,597,435
618,452,789,473
512,10,768,73
746,529,789,554
21,339,384,378
746,514,789,537
21,395,320,437
746,187,789,214
21,517,277,556
21,147,277,204
21,457,341,498
576,128,746,146
21,283,213,324
